Cifras Oficiales de Población de los Municipios Españoles: Revisión del Padrón Municipal
Resumen por provincias
Población por provincias y sexo.
Unidades:   Personas

	Total																									Hombres																									Mujeres																									
	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	
27 Lugo	327.946	329.587	331.327	333.634	336.527	339.386	342.748	346.005	348.902	351.530	353.504	355.195	355.549	355.176	356.595	357.625	358.452	360.512	361.782	364.125	365.619	366.934	367.751	""	370.303	158.842	159.686	160.647	161.775	163.154	164.605	166.325	168.013	169.536	170.854	171.983	172.943	172.914	172.422	172.967	173.399	173.812	174.906	175.583	176.856	177.594	178.537	179.056	""	180.550	169.104	169.901	170.680	171.859	173.373	174.781	176.423	177.992	179.366	180.676	181.521	182.252	182.635	182.754	183.628	184.226	184.640	185.606	186.199	187.269	188.025	188.397	188.695	""	189.753	
28 Madrid	6.779.888	6.663.394	6.578.079	6.507.184	6.466.996	6.436.996	6.454.440	6.495.551	6.498.560	6.489.680	6.458.684	6.386.932	6.271.638	6.081.689	6.008.183	5.964.143	5.804.829	5.718.942	5.527.152	5.372.433	5.205.408	5.145.325	5.091.336	""	5.022.289	3.243.793	3.187.312	3.147.872	3.115.522	3.098.631	3.087.022	3.099.641	3.123.724	3.130.241	3.132.844	3.124.438	3.094.874	3.040.658	2.943.778	2.908.654	2.887.718	2.804.962	2.760.877	2.663.407	2.584.779	2.501.285	2.472.098	2.444.919	""	2.411.548	3.536.095	3.476.082	3.430.207	3.391.662	3.368.365	3.349.974	3.354.799	3.371.827	3.368.319	3.356.836	3.334.246	3.292.058	3.230.980	3.137.911	3.099.529	3.076.425	2.999.867	2.958.065	2.863.745	2.787.654	2.704.123	2.673.227	2.646.417	""	2.610.741	
29 Málaga	1.685.920	1.661.785	1.641.121	1.630.615	1.629.298	1.628.973	1.621.968	1.652.999	1.641.098	1.625.827	1.609.557	1.593.068	1.563.261	1.517.523	1.491.287	1.453.409	1.397.925	1.374.890	1.330.010	1.302.240	1.278.851	1.258.084	1.240.580	""	1.249.290	825.450	814.349	804.858	800.551	800.630	800.767	797.639	813.878	808.527	801.126	793.575	786.393	773.012	750.682	737.508	717.572	688.242	675.800	651.174	636.274	623.607	612.914	605.927	""	611.750	860.470	847.436	836.263	830.064	828.668	828.206	824.329	839.121	832.571	824.701	815.982	806.675	790.249	766.841	753.779	735.837	709.683	699.090	678.836	665.966	655.244	645.170	634.653	""	637.540	
30 Murcia	1.511.251	1.493.898	1.478.509	1.470.273	1.464.847	1.467.288	1.466.818	1.472.049	1.474.449	1.470.069	1.461.979	1.446.520	1.426.109	1.392.117	1.370.306	1.335.792	1.294.694	1.269.230	1.226.993	1.190.378	1.149.328	1.131.128	1.115.068	""	1.097.249	756.699	747.615	740.143	736.238	733.555	735.434	735.889	739.842	742.727	741.581	738.627	731.609	722.999	706.326	697.027	677.049	652.057	639.795	616.236	595.757	570.125	559.888	551.343	""	541.069	754.552	746.283	738.366	734.035	731.292	731.854	730.929	732.207	731.722	728.488	723.352	714.911	703.110	685.791	673.279	658.743	642.637	629.435	610.757	594.621	579.203	571.240	563.725	""	556.180	
31 Navarra	661.197	654.214	647.554	643.234	640.647	640.476	640.790	644.477	644.566	642.051	636.924	630.578	620.377	605.876	601.874	593.472	584.734	578.210	569.628	556.263	543.757	538.009	530.819	""	520.574	327.226	323.631	320.469	318.671	317.840	317.885	318.486	320.933	321.453	320.656	318.423	315.486	310.282	302.330	300.917	296.587	292.059	288.991	284.620	277.118	269.826	266.711	262.687	""	257.718	333.971	330.583	327.085	324.563	322.807	322.591	322.304	323.544	323.113	321.395	318.501	315.092	310.095	303.546	300.957	296.885	292.675	289.219	285.008	279.145	273.931	271.298	268.132	""	262.856	
32 Ourense	306.650	307.651	309.293	311.680	314.853	318.391	322.293	326.724	330.257	333.257	335.219	335.642	336.099	336.926	338.671	339.555	340.258	342.213	343.768	344.623	345.241	345.620	344.170	""	346.913	147.078	147.522	148.426	149.689	151.226	153.043	155.090	157.425	159.175	160.570	161.346	161.454	161.848	162.026	162.785	163.012	163.299	164.171	164.967	165.295	165.472	165.844	165.209	""	166.778	159.572	160.129	160.867	161.991	163.627	165.348	167.203	169.299	171.082	172.687	173.873	174.188	174.251	174.900	175.886	176.543	176.959	178.042	178.801	179.328	179.769	179.776	178.961	""	180.135	
34 Palencia	160.321	160.980	162.035	163.390	164.644	166.035	167.609	168.955	170.713	171.668	172.510	173.306	173.454	173.281	173.153	173.471	173.990	175.047	176.125	177.345	178.316	179.465	179.623	""	180.571	79.457	79.808	80.323	80.943	81.609	82.232	82.997	83.696	84.630	85.118	85.543	85.950	85.852	85.505	85.314	85.568	85.829	86.439	86.993	87.524	88.005	88.717	88.892	""	89.565	80.864	81.172	81.712	82.447	83.035	83.803	84.612	85.259	86.083	86.550	86.967	87.356	87.602	87.776	87.839	87.903	88.161	88.608	89.132	89.821	90.311	90.748	90.731	""	91.006	
35 Palmas, Las	1.131.065	1.120.406	1.109.175	1.100.480	1.097.800	1.098.406	1.100.027	1.103.850	1.100.813	1.096.980	1.090.605	1.083.502	1.070.032	1.042.131	1.024.186	1.011.928	987.128	979.606	951.037	924.558	897.595	872.669	849.863	""	834.085	562.694	557.774	552.555	548.716	547.928	548.849	550.166	553.010	552.185	551.241	548.699	545.990	540.105	526.349	517.664	511.987	498.865	495.243	480.420	466.534	451.370	437.946	425.260	""	417.673	568.371	562.632	556.620	551.764	549.872	549.557	549.861	550.840	548.628	545.739	541.906	537.512	529.927	515.782	506.522	499.941	488.263	484.363	470.617	458.024	446.225	434.723	424.603	""	416.412	
36 Pontevedra	945.408	942.665	941.772	942.731	944.346	947.374	950.919	955.050	958.428	963.511	962.472	959.764	953.400	947.639	943.117	938.311	930.931	927.555	919.934	916.176	912.621	908.803	906.298	""	915.104	456.452	455.286	454.899	455.617	456.551	458.114	460.167	462.605	464.608	466.691	465.900	464.365	461.469	458.359	455.785	453.103	449.112	446.839	442.257	439.888	437.581	435.557	434.381	""	439.098	488.956	487.379	486.873	487.114	487.795	489.260	490.752	492.445	493.820	496.820	496.572	495.399	491.931	489.280	487.332	485.208	481.819	480.716	477.677	476.288	475.040	473.246	471.917	""	476.006	
26 Rioja, La	319.914	316.798	315.675	315.381	315.794	317.053	319.002	322.027	323.609	322.955	322.415	321.702	317.501	308.968	306.377	301.084	293.553	287.390	281.614	270.400	264.178	265.178	263.644	""	264.941	157.835	156.179	155.758	155.508	155.969	156.733	158.090	160.159	161.574	161.582	161.884	162.173	160.342	155.773	154.556	151.730	147.214	143.995	140.780	134.506	130.956	131.518	130.708	""	131.183	162.079	160.619	159.917	159.873	159.825	160.320	160.912	161.868	162.035	161.373	160.531	159.529	157.159	153.195	151.821	149.354	146.339	143.395	140.834	135.894	133.222	133.660	132.936	""	133.758	
